iter	Passed	Remaining
0	322	160828
1	410	102313
2	478	79270
3	555	68834
4	632	62650
5	718	59167
6	795	55998
7	891	54830
8	1052	57436
9	1139	55832
10	1227	54589
11	1305	53103
12	1389	52054
13	1474	51181
14	1554	50275
15	1627	49233
16	1708	48547
17	1789	47915
18	1863	47179
19	1932	46370
20	2004	45721
21	2076	45123
22	2149	44579
23	2225	44145
24	2294	43597
25	2375	43304
26	2448	42899
27	2520	42486
28	2599	42222
29	2672	41865
30	2742	41498
31	2811	41120
32	2882	40795
33	2953	40479
34	3019	40110
35	3092	39857
36	3161	39559
37	3238	39373
38	3309	39123
39	3394	39041
40	3501	39202
41	3606	39323
42	3705	39376
43	3803	39419
44	3903	39470
45	3997	39456
46	4091	39435
47	4176	39328
48	4272	39324
49	4366	39294
50	4465	39310
51	4588	39532
52	4691	39565
53	4786	39528
54	4870	39409
55	4959	39322
56	5058	39313
57	5168	39390
58	5279	39464
59	5420	39752
60	5546	39916
61	5675	40092
62	5815	40342
63	5972	40687
64	6089	40755
65	6218	40893
66	6351	41047
67	6499	41288
68	6639	41473
69	6764	41555
70	6878	41562
71	6983	41514
72	7092	41483
73	7214	41534
74	7326	41518
75	7436	41487
76	7565	41562
77	7694	41626
78	7815	41651
79	7937	41672
80	8057	41679
81	8185	41725
82	8316	41781
83	8438	41792
84	8572	41852
85	8714	41952
86	8833	41931
87	8955	41926
88	9055	41818
89	9174	41796
90	9287	41744
91	9405	41712
92	9512	41631
93	9630	41594
94	9753	41579
95	9869	41533
96	9984	41483
97	10102	41442
98	10232	41447
99	10353	41413
100	10469	41360
101	10595	41344
102	10715	41299
103	10840	41275
104	10997	41372
105	11118	41325
106	11237	41273
107	11356	41220
108	11483	41193
109	11600	41130
110	11718	41066
111	11840	41019
112	11957	40950
113	12067	40860
114	12180	40778
115	12286	40673
116	12396	40580
117	12513	40508
118	12629	40434
119	12750	40375
120	12899	40404
121	13021	40345
122	13142	40283
123	13253	40188
124	13387	40162
125	13510	40101
126	13634	40044
127	13748	39955
128	13862	39867
129	13972	39767
130	14087	39681
131	14204	39601
132	14317	39507
133	14436	39430
134	14549	39336
135	14663	39246
136	14783	39170
137	14912	39117
138	15029	39033
139	15148	38953
140	15285	38918
141	15420	38876
142	15539	38793
143	15693	38798
144	15841	38783
145	16002	38801
146	16131	38738
147	16259	38671
148	16402	38640
149	16529	38569
150	16662	38511
151	16778	38415
152	16911	38354
153	17038	38280
154	17162	38201
155	17283	38113
156	17417	38051
157	17535	37955
158	17672	37901
159	17788	37800
160	17913	37718
161	18052	37664
162	18182	37591
163	18300	37493
164	18417	37392
165	18522	37268
166	18649	37188
167	18765	37083
168	18883	36985
169	18998	36878
170	19127	36800
171	19245	36700
172	19360	36594
173	19494	36524
174	19613	36424
175	19741	36343
176	19872	36264
177	20013	36204
178	20124	36088
179	20259	36016
180	20382	35922
181	20497	35814
182	20618	35716
183	20745	35628
184	20882	35556
185	21032	35506
186	21153	35407
187	21274	35306
188	21393	35202
189	21500	35079
190	21613	34965
191	21734	34865
192	21841	34743
193	21951	34625
194	22078	34532
195	22190	34418
196	22308	34311
197	22416	34190
198	22528	34075
199	22645	33968
200	22763	33861
201	22876	33747
202	22999	33649
203	23126	33555
204	23240	33444
205	23362	33343
206	23460	33207
207	23580	33103
208	23725	33033
209	23845	32929
210	23963	32822
211	24090	32727
212	24224	32640
213	24345	32536
214	24475	32444
215	24610	32357
216	24748	32276
217	24863	32162
218	24995	32071
219	25130	31983
220	25243	31868
221	25366	31764
222	25496	31670
223	25611	31557
224	25751	31474
225	25910	31413
226	26038	31315
227	26175	31226
228	26295	31118
229	26424	31019
230	26545	30912
231	26699	30842
232	26844	30761
233	26975	30664
234	27099	30559
235	27233	30464
236	27346	30346
237	27471	30241
238	27593	30133
239	27713	30022
240	27837	29916
241	27981	29831
242	28108	29727
243	28234	29623
244	28346	29503
245	28459	29385
246	28578	29272
247	28692	29155
248	28812	29044
249	28929	28929
250	29041	28810
251	29159	28696
252	29283	28588
253	29411	28484
254	29536	28378
255	29655	28265
256	29775	28153
257	29878	28025
258	29999	27914
259	30119	27802
260	30232	27684
261	30352	27572
262	30475	27462
263	30594	27349
264	30725	27246
265	30856	27144
266	30982	27036
267	31095	26918
268	31224	26813
269	31352	26707
270	31467	26590
271	31578	26470
272	31695	26354
273	31822	26247
274	31952	26143
275	32078	26034
276	32206	25927
277	32340	25825
278	32461	25712
279	32589	25605
280	32706	25490
281	32830	25379
282	32943	25260
283	33050	25137
284	33171	25024
285	33295	24913
286	33421	24804
287	33539	24688
288	33658	24574
289	33780	24461
290	33906	24352
291	34028	24239
292	34142	24120
293	34258	24004
294	34369	23883
295	34491	23771
296	34594	23645
297	34718	23534
298	34834	23417
299	34959	23306
300	35074	23188
301	35190	23072
302	35309	22956
303	35429	22842
304	35538	22721
305	35653	22603
306	35954	22603
307	36273	22612
308	36388	22492
309	36506	22374
310	36621	22255
311	36733	22134
312	36836	22007
313	36952	21889
314	37068	21770
315	37187	21653
316	37306	21536
317	37420	21416
318	37550	21305
319	37657	21182
320	37771	21062
321	37886	20943
322	37998	20822
